ELM-FATES Parameter List v3 - 162 Parameters for Morris Sampling
================================================================================
This file contains 162 parameters (138 original + 24 new) with their bounds
for Morris sensitivity analysis.

Structure:
- Parameters 1-138: Original Morris ensemble parameters
- Parameters 139-162: New critical parameters (turnover, root distribution, PID gains, storage ratios)

Created: 2025-12-29
Based on: Morris ensemble redesign analysis

================================================================================

No	ELM-FATES CNP Parameters	Symbol/Short and PFT#	Lower_Bound	Upper_Bound	Default_Value	Description
46	fates_cnp_vmax_p	vmax_p_10	5E-11	0.00005	5e-10	Maximum P uptake rate PFT#10
47	fates_cnp_eca_vmax_ptase	vmax_ptase_10	5E-10	0.0005	5e-09	Maximum phosphatase production rate PFT#10
48	fates_cnp_pid_kp	pid_kp_10	0.000005	0.005	0.0005	PID proportional gain for allocation PFT#10
49	fates_allom_l2fr	l2fr_ini_10	1.115169823	9.879038859	1	Initial leaf to fine root ratio PFT#10
50	fates_cnp_turnover_nitr_retrans	nitr_retrans_10	0.6	0.7	0.25	Nitrogen retranslocation fraction PFT#10
51	fates_cnp_turnover_phos_retrans	phos_retrans_10	0.7	0.9	0.25	Phosphorus retranslocation fraction PFT#10
52	fates_stoich_nitr	stoich_nitr_leaf_10	0.016628655	0.04072551	0.04	Leaf nitrogen stoichiometry PFT#10
53	fates_stoich_phos	stoich_phos_leaf_10	0.000920964	0.002994719	0.004	Leaf phosphorus stoichiometry PFT#10
54	fates_stoich_nitr	stoich_nitr_fineroot_10	0.012805067	0.017077499	0.024	Fine root nitrogen stoichiometry PFT#10
55	fates_stoich_phos	stoich_phos_fineroot_10	0.000709198	0.001255781	0.0024	Fine root phosphorus stoichiometry PFT#10
56	fates_allom_d2bl1	allom_d2bl1_7	0.037290039	0.100693359	0.07	Diameter to leaf biomass allometry parameter 1 PFT#7
57	fates_allom_d2bl2	allom_d2bl2_7	0.679199219	1.897949219	1.3	Diameter to leaf biomass allometry parameter 2 PFT#7
58	fates_allom_agb2	allom_agb2_7	0.303316406	0.850738281	0.572	Aboveground biomass allometry parameter 2 PFT#7
59	fates_allom_agb3	allom_agb3_7	1.009785156	2.823798828	1.94	Aboveground biomass allometry parameter 3 PFT#7
60	fates_allom_d2h1	allom_d2h1_7	0.329375	0.959375	0.64	Diameter to height allometry parameter 1 PFT#7
61	fates_allom_d2h2	allom_d2h2_7	0.195297852	0.521396484	0.37	Diameter to height allometry parameter 2 PFT#7
62	fates_recruit_height_min	recruit_height_min_7	0.392211914	1.095336914	0.2	Minimum recruit height PFT#7
63	fates_allom_dbh_maxheight	allom_dbh_maxheight_7	1.574707031	4.480957031	3	DBH at maximum height PFT#7
64	fates_allom_d2ca_coefficient_min	allom_d2ca_coefficient_min_7	0.179952134	0.502875414	0.3381119	Minimum diameter to crown area coefficient PFT#7
65	fates_alloc_store_priority_frac	alloc_store_priority_frac_7	0.441894531	0.948144531	0.8	Storage allocation priority fraction PFT#7
66	fates_alloc_storage_cushion	alloc_storage_cushion_7	0.611132813	5.0	1.2	Storage carbon cushion PFT#7
67	fates_leaf_slatop	leaf_slatop_7	0.010105671	0.017249186	0.012	Specific leaf area at canopy top PFT#7
68	fates_leaf_vcmax25top	leaf_vcmax25top_7	58.37439691	99.3841642	62	Maximum carboxylation rate at 25C PFT#7
69	fates_grperc	grperc_7	0.05784668	0.16440918	0.11	Growth respiration fraction PFT#7
70	fates_mort_scalar_hydrfailure	mort_scalar_hydrfailure_7	0.05	0.848144531	0.6	Hydraulic failure mortality scalar PFT#7
71	fates_mort_scalar_cstarvation	mort_scalar_cstarvation_7	0.15	0.897070313	0.6	Carbon starvation mortality scalar PFT#7
72	fates_mort_scalar_coldstress	mort_scalar_coldstress_7	1.721191406	4.409179688	3	Cold stress mortality scalar PFT#7
73	fates_mort_bmort	mort_bmort_7	0.007143555	0.020829102	0.014	Background mortality rate PFT#7
74	fates_mort_hf_sm_threshold	mort_hf_sm_threshold_7	1E-08	1.44482E-06	1e-06	Hydraulic failure soil moisture threshold PFT#7
75	fates_mort_freezetol	mort_freezetol_7	-89.58984375	-34.51171875	-60	Freezing tolerance temperature PFT#7
76	fates_recruit_seed_alloc	recruit_seed_alloc_7	0.055371094	0.143115234	0.1	Seed allocation fraction PFT#7
77	fates_frag_seed_decay_rate	frag_seed_decay_rate_7	0.10	0.763754883	0.51	Seed decay rate PFT#7
78	fates_recruit_seed_germination_rate	recruit_seed_germination_rate_7	0.256591797	0.740722656	0.5	Seed germination rate PFT#7
79	fates_recruit_seed_supplement	recruit_seed_supplement_7	0.000439453	0.048803711	0	Seed rain supplement PFT#7
80	fates_recruit_init_density	recruit_init_density_7	0.104980469	0.292480469	0.2	Initial recruit density PFT#7
81	fates_phen_mindaysoff	phen_mindaysoff_7	51.70898438	148.5839844	100	Minimum days in dormant phase PFT#7
82	fates_allom_d2bl1	allom_d2bl1_9	0.039819336	0.101069336	0.07	Diameter to leaf biomass allometry parameter 1 PFT#9
83	fates_allom_d2bl2	allom_d2bl2_9	0.742675781	1.841455078	1.3	Diameter to leaf biomass allometry parameter 2 PFT#9
84	fates_allom_agb2	allom_agb2_9	0.319236328	0.828394531	0.572	Aboveground biomass allometry parameter 2 PFT#9
85	fates_allom_agb3	allom_agb3_9	1.095986328	2.854111328	1.94	Aboveground biomass allometry parameter 3 PFT#9
86	fates_allom_d2h1	allom_d2h1_9	0.358125	0.958125	0.64	Diameter to height allometry parameter 1 PFT#9
87	fates_allom_d2h2	allom_d2h2_9	0.193310547	0.529887695	0.37	Diameter to height allometry parameter 2 PFT#9
88	fates_recruit_height_min	recruit_height_min_9	0.396606445	1.103759766	0.2	Minimum recruit height PFT#9
89	fates_allom_dbh_maxheight	allom_dbh_maxheight_9	1.002929688	2.940429688	2	DBH at maximum height PFT#9
90	fates_allom_d2ca_coefficient_min	allom_d2ca_coefficient_min_9	0.183749289	0.485705669	0.3381119	Minimum diameter to crown area coefficient PFT#9
91	fates_alloc_store_priority_frac	alloc_store_priority_frac_9	0.405566406	0.974804688	0.8	Storage allocation priority fraction PFT#9
92	fates_alloc_storage_cushion	alloc_storage_cushion_9	0.887109375	5.0	1.2	Storage carbon cushion PFT#9
93	fates_leaf_slatop	leaf_slatop_9	0.017267216	0.031647838	0.03	Specific leaf area at canopy top PFT#9
94	fates_leaf_vcmax25top	leaf_vcmax25top_9	58.37439691	99.3841642	54	Maximum carboxylation rate at 25C PFT#9
95	fates_grperc	grperc_9	0.056450195	0.161025391	0.11	Growth respiration fraction PFT#9
96	fates_mort_scalar_hydrfailure	mort_scalar_hydrfailure_9	0.05	0.880957031	0.6	Hydraulic failure mortality scalar PFT#9
97	fates_mort_scalar_cstarvation	mort_scalar_cstarvation_9	0.15	0.866601563	0.6	Carbon starvation mortality scalar PFT#9
98	fates_mort_scalar_coldstress	mort_scalar_coldstress_9	1.514648438	4.466308594	3	Cold stress mortality scalar PFT#9
99	fates_mort_bmort	mort_bmort_9	0.00725293	0.020876953	0.014	Background mortality rate PFT#9
100	fates_mort_hf_sm_threshold	mort_hf_sm_threshold_9	1E-08	1.4209E-06	1e-06	Hydraulic failure soil moisture threshold PFT#9
101	fates_mort_freezetol	mort_freezetol_9	-115.234375	-42.734375	-80	Freezing tolerance temperature PFT#9
102	fates_recruit_seed_alloc	recruit_seed_alloc_9	0.057275391	0.149902344	0.1	Seed allocation fraction PFT#9
103	fates_frag_seed_decay_rate	frag_seed_decay_rate_9	0.10	0.730883789	0.51	Seed decay rate PFT#9
104	fates_recruit_seed_germination_rate	recruit_seed_germination_rate_9	0.318847656	0.742675781	0.5	Seed germination rate PFT#9
105	fates_recruit_seed_supplement	recruit_seed_supplement_9	0.003295898	0.045263672	0	Seed rain supplement PFT#9
106	fates_recruit_init_density	recruit_init_density_9	0.102148438	0.289648438	0.2	Initial recruit density PFT#9
107	fates_phen_mindaysoff	phen_mindaysoff_9	51.70898438	148.5839844	100	Minimum days in dormant phase PFT#9
108	fates_allom_d2bl1	allom_d2bl1_10	0.019	0.15	0.07	Diameter to leaf biomass allometry parameter 1 PFT#10
109	fates_allom_d2bl2	allom_d2bl2_10	0.59	2.14	1.3	Diameter to leaf biomass allometry parameter 2 PFT#10
110	fates_allom_agb2	allom_agb2_10	1.203261719	1.422636719	0.572	Aboveground biomass allometry parameter 2 PFT#10
111	fates_allom_agb3	allom_agb3_10	0.986103516	2.880634766	1.94	Aboveground biomass allometry parameter 3 PFT#10
112	fates_allom_d2h1	allom_d2h1_10	0.3703125	0.9503125	0.64	Diameter to height allometry parameter 1 PFT#10
113	fates_allom_d2h2	allom_d2h2_10	0.234321289	0.546870117	0.37	Diameter to height allometry parameter 2 PFT#10
114	fates_recruit_height_min	recruit_height_min_10	0.065307617	0.185668945	0.125	Minimum recruit height PFT#10
115	fates_allom_dbh_maxheight	allom_dbh_maxheight_10	0.191748047	0.519873047	0.35	DBH at maximum height PFT#10
116	fates_allom_d2ca_coefficient_min	allom_d2ca_coefficient_min_10	0.170871981	0.500729196	0.3381119	Minimum diameter to crown area coefficient PFT#10
117	fates_alloc_store_priority_frac	alloc_store_priority_frac_10	0.401757813	0.986523438	0.8	Storage allocation priority fraction PFT#10
118	fates_alloc_storage_cushion	alloc_storage_cushion_10	0.685546875	5.0	1.2	Storage carbon cushion PFT#10
119	fates_leaf_slatop	leaf_slatop_10	0.008526343	0.028958435	0.03	Specific leaf area at canopy top PFT#10
120	fates_leaf_vcmax25top	leaf_vcmax25top_10	58.37439691	99.3841642	78	Maximum carboxylation rate at 25C PFT#10
121	fates_grperc	grperc_10	0.055322266	0.162529297	0.11	Growth respiration fraction PFT#10
122	fates_mort_scalar_hydrfailure	mort_scalar_hydrfailure_10	0.05	0.890332031	0.6	Hydraulic failure mortality scalar PFT#10
123	fates_mort_scalar_cstarvation	mort_scalar_cstarvation_10	0.15	0.887988281	0.6	Carbon starvation mortality scalar PFT#10
124	fates_mort_scalar_coldstress	mort_scalar_coldstress_10	1.584960938	4.275878906	3	Cold stress mortality scalar PFT#10
125	fates_mort_bmort	mort_bmort_10	0.007922852	0.020685547	0.014	Background mortality rate PFT#10
126	fates_mort_hf_sm_threshold	mort_hf_sm_threshold_10	1E-08	1.44238E-06	1e-06	Hydraulic failure soil moisture threshold PFT#10
127	fates_mort_freezetol	mort_freezetol_10	-118.984375	-42.8515625	-80	Freezing tolerance temperature PFT#10
128	fates_recruit_seed_alloc	recruit_seed_alloc_10	0.055957031	0.144384766	0.1	Seed allocation fraction PFT#10
129	fates_frag_seed_decay_rate	frag_seed_decay_rate_10	0.10	0.750805664	0.51	Seed decay rate PFT#10
130	fates_recruit_seed_germination_rate	recruit_seed_germination_rate_10	0.264160156	0.747802734	0.5	Seed germination rate PFT#10
131	fates_recruit_seed_supplement	recruit_seed_supplement_10	0.001025391	0.047900391	0	Seed rain supplement PFT#10
132	fates_recruit_init_density	recruit_init_density_10	0.100195313	0.280664063	0.2	Initial recruit density PFT#10
133	fates_phen_mindaysoff	phen_mindaysoff_10	51.70898438	148.5839844	100	Minimum days in dormant phase PFT#10
134	fates_maintresp_nonleaf_baserate	maintresp_nonleaf_baserate	1.29568E-06	3.66926E-06	2.525e-06	Non-leaf maintenance respiration base rate (shared)
135	fates_phen_chilltemp	phen_chilltemp	-4.580078125	4.990234375	5	Chilling temperature threshold (shared)
136	fates_phen_coldtemp	phen_coldtemp	-7.456054688	7.075195313	7.5	Cold temperature threshold (shared)
137	fates_phen_ncolddayslim	phen_ncolddayslim	2.573242188	6.948242188	5	Number of cold days limit (shared)
138	fates_phen_gddthresh_c	phen_gddthresh_c	-0.014916992	-0.005166016	-0.01	GDD threshold slope (shared)
139	fates_turnover_fnrt	turnover_fnrt_7	0.5	5.0	1.5	Fine root longevity (yr) PFT#7 - NEW TIER 1
140	fates_turnover_fnrt	turnover_fnrt_9	0.5	5.0	1	Fine root longevity (yr) PFT#9 - NEW TIER 1
141	fates_turnover_fnrt	turnover_fnrt_10	0.5	5.0	1	Fine root longevity (yr) PFT#10 - NEW TIER 1
142	fates_turnover_leaf	turnover_leaf_7	0.3	2.0	1.5	Leaf longevity (yr) PFT#7 - NEW TIER 1
143	fates_turnover_leaf	turnover_leaf_9	0.3	2.0	1	Leaf longevity (yr) PFT#9 - NEW TIER 1
144	fates_turnover_leaf	turnover_leaf_10	0.3	2.0	1	Leaf longevity (yr) PFT#10 - NEW TIER 1
145	fates_allom_fnrt_prof_a	fnrt_prof_a_7	11.17	33.51	7	Root distribution shape parameter a PFT#7 - NEW TIER 1
146	fates_allom_fnrt_prof_a	fnrt_prof_a_9	9.16	27.48	7	Root distribution shape parameter a PFT#9 - NEW TIER 1
147	fates_allom_fnrt_prof_a	fnrt_prof_a_10	5.75	17.27	11	Root distribution shape parameter a PFT#10 - NEW TIER 1
148	fates_allom_fnrt_prof_b	fnrt_prof_b_7	5.18	15.53	1.5	Root distribution shape parameter b PFT#7 - NEW TIER 1
149	fates_allom_fnrt_prof_b	fnrt_prof_b_9	9.14	27.43	1.5	Root distribution shape parameter b PFT#9 - NEW TIER 1
150	fates_allom_fnrt_prof_b	fnrt_prof_b_10	3.26	9.78	2	Root distribution shape parameter b PFT#10 - NEW TIER 1
151	fates_cnp_pid_ki	pid_ki_7	0.0	0.001	0	PID integral gain PFT#7 - NEW TIER 2
152	fates_cnp_pid_ki	pid_ki_9	0.0	0.001	0	PID integral gain PFT#9 - NEW TIER 2
153	fates_cnp_pid_ki	pid_ki_10	0.0	0.001	0	PID integral gain PFT#10 - NEW TIER 2
154	fates_cnp_pid_kd	pid_kd_7	0.01	0.5	0.1	PID derivative gain PFT#7 - NEW TIER 2
155	fates_cnp_pid_kd	pid_kd_9	0.01	0.5	0.1	PID derivative gain PFT#9 - NEW TIER 2
156	fates_cnp_pid_kd	pid_kd_10	0.01	0.5	0.1	PID derivative gain PFT#10 - NEW TIER 2
157	fates_cnp_phos_store_ratio	phos_store_ratio_7	1.0	5.0	1.5	P storage capacity (multiple of leaf P) PFT#7 - NEW TIER 3
158	fates_cnp_phos_store_ratio	phos_store_ratio_9	1.0	5.0	1.5	P storage capacity (multiple of leaf P) PFT#9 - NEW TIER 3
159	fates_cnp_phos_store_ratio	phos_store_ratio_10	1.0	5.0	1.5	P storage capacity (multiple of leaf P) PFT#10 - NEW TIER 3
160	fates_cnp_nitr_store_ratio	nitr_store_ratio_7	1.0	5.0	1.5	N storage capacity (multiple of leaf N) PFT#7 - NEW TIER 3
161	fates_cnp_nitr_store_ratio	nitr_store_ratio_9	1.0	5.0	1.5	N storage capacity (multiple of leaf N) PFT#9 - NEW TIER 3
162	fates_cnp_nitr_store_ratio	nitr_store_ratio_10	1.0	5.0	1.5	N storage capacity (multiple of leaf N) PFT#10 - NEW TIER 3

================================================================================
Notes:

1. Parameters 1-138: Bounds from original Morris ensemble (SALib_FATES_CNPnPlantTraits_138Parameters_Morris.ipynb)
2. Parameters 139-162: New critical parameters identified from gap analysis
   - Tier 1 (139-150): Direct controls of ECA capacitance (turnover, root distribution)
   - Tier 2 (151-156): PID controller completeness (integral and derivative gains)
   - Tier 3 (157-162): Storage dynamics buffering

3. Rationale for new parameters:
   - fates_turnover_fnrt/leaf: Control steady-state biomass pools and C balance
   - fates_allom_fnrt_prof_a/b: Control vertical nutrient access and ECA capacitance
   - fates_cnp_pid_ki/kd: Complete PID controller for chronic nutrient limitation
   - fates_cnp_phos/nitr_store_ratio: Buffer seasonal nutrient scarcity

4. Conservative removal analysis: Decided to KEEP all 138 original parameters
   - Cross-PFT effects are pervasive (20-40% of top-10 rankings from other PFTs)
   - Edge parameters may appear insensitive but are constrained by bounds
   - Better to have complete parameter space than miss interactions

5. Expected Morris sampling:
   - 162 parameters × 30 trajectories = 4,890 model runs
   - vs original 138 parameters × 30 trajectories = 4,170 runs
   - Increase: 720 additional runs (17% more)

================================================================================
